Number,Time
0,0.0007463530018867459
1,0.0007776519996696152
2,0.0008833360006974544
3,0.0008583399976487271
4,0.0008855470005073585
5,0.000845034999656491
6,0.000775254000473069
7,0.000850824002554873
8,0.0008180320000974461
9,0.0008808850034256466
10,0.0008472019981127232
11,0.0008461959987471346
12,0.000862685999891255
13,0.0007638620008947328
14,0.0007386690012936015
15,0.0008438730001216754
16,0.0007878830001573078
17,0.0008559609996154904
18,0.00086272200132953
19,0.0008317069987242576
20,0.0009012689988594502
21,0.000779485002567526
22,0.0008655290002934635
23,0.0007724720016994979
24,0.0008191140004782937
25,0.0007680029993935023
26,0.0009096349967876449
27,0.0008382490013900679
28,0.0008696870027051773
29,0.0007273590017575771
30,0.0008647549984743819
31,0.0008367019981960766
32,0.0008593430029577576
33,0.0008485110010951757
34,0.000820326000393834
35,0.0008511100022587925
36,0.0008014080012799241
37,0.0008467959996778518
38,0.0008469259992125444
39,0.0008634869991510641
40,0.0009494949990767054
41,0.0008370120012841653
42,0.0008658429978822824
43,0.00084060700100963
44,0.0008561539980291855
45,0.0008377099984500092
46,0.0008417630015173927
47,0.0009039760006999131
48,0.0007723320013610646
49,0.0008334170015587006
50,0.000833630001579877
51,0.0007039609990897588
52,0.0008513020002283156
53,0.0008622929999546614
54,0.000838403997477144
55,0.0008567340009904001
56,0.0008345960013684817
57,0.0008487969971611165
58,0.0008181109988072421
59,0.0008723009996174369
60,0.000782346000050893
61,0.0008564639974792954
62,0.0008619619984528981
63,0.000795125997683499
64,0.0008439560006081592
65,0.0008373560012842063
66,0.0008391840019612573
67,0.0008501270021952223
68,0.0008308130018122029
69,0.0008794229979685042
70,0.0008265340002253652
71,0.0008590809993620496
72,0.000830355998914456
73,0.0007889620028436184
74,0.0008594360006100032
75,0.0008344180023414083
76,0.0008675409990246408
77,0.0008390340008190833
78,0.0008376559999305755
79,0.0008298089996969793
80,0.0008031279976421501
81,0.0008568339981138706
82,0.0008704419997229706
83,0.0008583279995946214
84,0.0008535820015822537
85,0.000857347000419395
86,0.0008514729997841641
87,0.0007677399989916012
88,0.0008109450027404819
89,0.0008612339988758322
90,0.0008868859986250754
91,0.0007631170010427013
92,0.0008157110023603309
93,0.0008391759984078817
94,0.0008508069986419287
95,0.0008112130017252639
96,0.0008222649994422682
97,0.0008478529998683371
98,0.0008414340009039734
99,0.0008162759986589663
100,0.0008601210029155482
101,0.0008732459973543882
102,0.0008503829994879197
103,0.0008502630007569678
104,0.000862801000039326
105,0.000862917000631569
106,0.0008367869995709043
107,0.000844767000671709
108,0.0008466789986414369
109,0.0008174329996109009
110,0.0007950889994390309
111,0.0008628659998066723
112,0.0008451360008621123
113,0.0008643990004202351
114,0.0007622660014021676
115,0.0008438999975624029
116,0.0008480380020046141
117,0.0008638370018161368
118,0.0008530049999535549
119,0.0008436880016233772
120,0.0007119570000213571
121,0.0008406650013057515
122,0.0008757930008869153
123,0.0008357070000784006
124,0.0009001720027299598
125,0.0007794190023560077
126,0.0008436540010734461
127,0.0008579409986850806
128,0.0008802199990896042
129,0.000908062000235077
130,0.0007921690012153704
131,0.0008606570008851122
132,0.0008396129996981472
133,0.0008644549998280127
134,0.0007840809994377196
135,0.000752644999010954
136,0.0008463869999104645
137,0.0008399029975407757
138,0.0010735899995779619
139,0.0008603829992352985
140,0.0008865340023476165
141,0.0008435460003966
142,0.0006864589995529968
143,0.0008827109995763749
144,0.0008703790008439682
145,0.0008454920025542378
146,0.0008558859990444034
147,0.0008511609994457103
148,0.0008774629968684167
149,0.0008371529984287918
150,0.0007807850015524309
151,0.0008531439998478163
152,0.0008260389986389782
153,0.0008545239979866892
154,0.0007759700019960292
155,0.0008369180031877477
156,0.0008259849964815658
157,0.0008310100020025857
158,0.000693010999384569
159,0.0008642989996587858
160,0.0008484739992127288
161,0.0009139399990090169
162,0.000854835998325143
163,0.0008303469985548873
164,0.0008280969996121712
165,0.0008249200000136625
166,0.0008689710011822172
167,0.0008572970000386704
168,0.0008784380006545689
169,0.0008389560025534593
170,0.0008243240008596331
171,0.0008333049991051666
172,0.0008944640030676965
173,0.0008864880001056008
174,0.0008333740006492008
175,0.0008033269987208769
176,0.0007828709967725445
177,0.000842673998704413
178,0.0007686139979341533
179,0.0008610579970991239
180,0.0008484910031256732
181,0.0008368569979211316
182,0.0008375850011361763
183,0.0008495990005030762
184,0.0007064589990477543
185,0.0008479509997414425
186,0.0008693919990037102
187,0.0008299100009026006
188,0.0008640529995318502
189,0.0008326079987455159
190,0.0007818080011929851
191,0.0008732139976928011
192,0.0008768220031925011
193,0.0008709760004421696
194,0.0008389280010305811
195,0.0008363450033357367
196,0.0008309750010084826
197,0.0008091489980870392
198,0.0008707640008651651
199,0.0007890739980211947
200,0.0008792080006969627
201,0.000782314997195499
202,0.0007845610016374849
203,0.0008459729979222175
204,0.0008937140009948052
205,0.0008808899983705487
206,0.0008477480005240068
207,0.0008829059988784138
208,0.0006985580002947245
209,0.0007954409993544687
210,0.0008404779982811306
211,0.0008456299983663484
212,0.0007860020014049951
213,0.0008848870020301547
214,0.0008517349997418933
215,0.0008953839969763067
216,0.0008388370006287005
217,0.0008548440018785186
218,0.0008645079979032744
219,0.0008534330008842517
220,0.0007213349999801721
221,0.0008291999984066933
222,0.000907114997971803
223,0.000869284998771036
224,0.0008612929996161256
225,0.0008426679996773601
226,0.0008399879989156034
227,0.0008382769992749672
228,0.0008413370014750399
229,0.0008402060011576395
230,0.0007307589985430241
231,0.0007713440027146135
232,0.0009000630016089417
233,0.0008699530008016154
234,0.0008710040019650478
235,0.000873140998010058
236,0.0008393740026804153
237,0.000862197997776093
238,0.0008169839966285508
239,0.0008768440020503476
240,0.0008366990005015396
241,0.0008726550004212186
242,0.0008355369973287452
243,0.0008351430005859584
244,0.0008249610000348184
